DisplayName, Password, Type, DefaultGroupName, CCC, Email/PhoneNumber, SIP, AdminStateEnabled, FirstName, MiddleName, LastName, CreationTime, DeviceName, OperatorName, LicenseName, LicenseMask, PrimarySiteName, SecondarySiteName
505976971 ,  ,Mobile ,gTag ,972 ,505976971 ,972505976971@1h.com ,True ,505976971 ,  ,  ,2017-06-29 17:13:44.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
aaab ,  ,Mobile ,gTag ,0 , ,011185955433@1h.com ,True ,aaab ,  ,  ,2017-07-03 11:19:48.0 ,UNKNOWN ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , , ,True ,52434343432 , ,Test ,2017-07-04 16:21:49.0 , , ,ALL ,984183 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , , ,True ,52434343432 , ,Test ,2017-07-04 16:26:51.0 , , ,ALL ,984183 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , , ,True ,52434343432 , ,Test ,2017-07-04 16:30:18.0 , , ,ALL ,984183 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , , ,True ,52434343432 , ,Test ,2017-07-04 16:38:24.0 , , ,ALL ,984183 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , ,434343432@1h.com ,True ,434343432 , ,  ,2017-07-04 17:57:35.0 ,Mobile ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784567 ,  ,Mobile , ,1 ,4865784567 , ,True ,4865784567 ,  ,  ,2017-07-09 08:30:06.0 , , ,ALL ,984183 ,IPRSD ,IPRSD ,
48657845671 ,  ,Mobile ,gTag2 ,1 ,48657845671 , ,True ,48657845671 ,  ,  ,2017-07-09 08:31:46.0 , , ,ALL ,984183 ,IPRSD ,IPRSD ,
678978909837 ,  ,Mobile ,gTag2 ,972 ,678978909837 ,972678978909837@1h.com ,True ,678978909837 ,  ,  ,2017-07-09 08:43:19.0 ,UNKNOWN ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
67895726845 ,  ,Mobile ,gTag2 ,972 ,67895726845 , ,True ,67895726845 ,  ,  ,2017-07-09 08:57:23.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
678957268 ,  ,Mobile , ,972 ,6789572684 , ,True ,6789572684 ,  ,  ,2017-07-09 09:04:11.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
6789572683 ,  ,Mobile , ,972 ,6789572683 , ,True ,6789572683 ,  ,  ,2017-07-09 09:05:37.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
6789572681 ,  ,Mobile , ,972 ,6789572681 , ,True ,6789572681 ,  ,  ,2017-07-09 09:13:38.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
654214563 ,  ,Mobile , ,972 ,654214563 , ,True ,654214563 ,  ,  ,2017-07-09 09:42:35.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
654214562 ,  ,Mobile , ,972 ,654214562 , ,True ,654214562 ,  ,  ,2017-07-09 09:46:51.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
654214561 ,  ,Mobile , ,972 ,654214561 , ,True ,654214561 ,  ,  ,2017-07-09 09:54:42.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784567 ,  ,Mobile , ,972 ,4865784567 , ,True ,4865784567 ,  ,  ,2017-07-09 10:42:44.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784566 ,  ,Mobile , ,972 ,4865784566 , ,True ,4865784566 ,  ,  ,2017-07-09 18:37:09.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784568 ,  ,Mobile , ,972 ,4865784568 , ,True ,4865784568 ,  ,  ,2017-07-09 18:47:29.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784569 ,  ,Mobile , ,972 ,4865784569 , ,True ,4865784569 ,  ,  ,2017-07-09 18:49:26.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784570 ,  ,Mobile , ,972 ,4865784570 , ,True ,4865784570 ,  ,  ,2017-07-09 21:23:31.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784571 ,  ,Mobile , ,972 ,4865784571 , ,True ,4865784571 ,  ,  ,2017-07-09 21:32:07.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , , ,True ,52434343432 , ,Test ,2017-07-10 09:06:41.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
testSOAP2 ,  ,Mobile , ,359 , , ,True ,52434343432 , ,Test ,2017-07-10 09:08:08.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
90336119540 ,  ,Mobile , ,972 ,90336119540 , ,True ,90336119540 , ,Test ,2017-07-10 09:31:15.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
